,sentence,subject
12838,"The symptoms of anxiety disorders can vary from person to person, but may include feelings of restlessness, fatigue, and difficulty concentrating.",Psychology
12922,Feminist theory has been influential in shaping social policy and activism.,Sociology
10494,Social constructivist approaches involve students constructing knowledge through social interactions.,Education
13180,Feminist theory is a major area of study in sociology.,Sociology
12389,"Gross motor skills, on the other hand, are necessary for larger movements like walking, running, and jumping.",Psychology
15198,The education tax credit is a type of non-refundable tax credit.,Accounting
10944,"The field of power electronics is highly interdisciplinary, drawing on knowledge and techniques from electrical engineering, materials science, and computer engineering.",Engineering
5081,The dairy industry is a significant contributor to the agricultural sector.,Agriculture
16328,The X-15 was a rocket-powered aircraft that was capable of supersonic flight.,Aerospace Engineering
17045,American film has been shaped by the contributions of immigrant filmmakers.,American Studies
11847,Postcolonialism challenges the dominant Western narratives and epistemologies that have been imposed on non-Western societies.,Political Science
15689,Actuaries rely on graph theory to develop and implement effective risk management strategies.,Actuarial Science
6128,The cosmic microwave background radiation is a form of electromagnetic radiation that fills the universe.,Astronomy
4635,Virtue ethics emphasizes the importance of practical wisdom and moral discernment in making moral decisions.,Philosophy
16377,The President of the United States is the head of state and head of government of the United States.,American Studies
15483,Statistics is a fundamental tool in actuarial science for analyzing and interpreting data.,Actuarial Science
3540,A one-tailed test is used when the direction of the effect is known or hypothesized.,Mathematics
11682,The Dirac equation is a fundamental equation in particle physics.,Physics
15494,Actuaries must carefully consider conditional independence when building and interpreting actuarial models.,Actuarial Science
1160,Environmental geography is the study of the interrelationship between the environment and human societies.,Geography
14347,Epic theater often employs a non-linear narrative structure.,Theater
8968,It involves the use of computational models to extract insights from text data.,Computer Science
16589,"The story takes place in the fictional town of Maycomb, Alabama, during the 1930s.",American Studies
